11600 10 5800 550 1.0 1.0 Resources/Default/1/Graphics/k.png 1
15656 10 19628 550 1.0 1.0 Resources/Default/1/Graphics/k.png 1
20400 10 10200 1150 1.0 1.0 Resources/Default/1/Graphics/k.png 1
6958 10 24179 1150 1.0 1.0 Resources/Default/1/Graphics/k.png 1
150 150 2000 475 0.6 0.95 Resources/Default/1/Graphics/Props/Prop_hydrant_past.png 1 250 250 0 0 60 1
230 230 4300 470 0.3 0.9 Resources/Default/1/Graphics/Props/Prop_Clothing_rack_past.png 1 512 512 0 0 60 1
250 250 5600 450 0.3 0.65 Resources/Default/1/Graphics/Props/TrashCan_Past.png 1 1024 1024 0 0 60 1
250 250 9660 450 0.3 0.65 Resources/Default/1/Graphics/Props/TrashCan_Past.png 1 1024 1024 0 0 60 1
250 250 11100 450 0.5 0.5 Resources/Default/1/Graphics/Props/Prop_Construction_block.png 1 512 512 0 0 60 1
250 250 12300 450 0.5 0.5 Resources/Default/1/Graphics/Props/Prop_Construction_block.png 1 512 512 0 0 60 1
250 250 13050 500 0.4 0.8 Resources/Default/1/Graphics/Props/Prop_Mail_Box_Past.png 1 1024 1024 0 0 60 1
350 350 16700 425 0.3 0.84 Resources/Default/1/Graphics/Props/Prop_Movie_Commercial_Past.png 1 1024 1024 0 0 60 1
250 250 22950 500 0.4 0.8 Resources/Default/1/Graphics/Props/Prop_Mail_Box_Past.png 1 1024 1024 0 0 60 1
325 325 24220 475 0.4 0.6 Resources/Default/1/Graphics/Props/Prop_Barricade.png 1 1024 1024 0 0 60 1
325 325 24220 300 0.4 0.6 Resources/Default/1/Graphics/Props/Prop_Barricade.png 1 1024 1024 0 0 60 1
1240 10 25068 95 1.0 1.0 Resources/Default/1/Graphics/Props/k 1 1024 1024 0 0 60 1
150 150 2000 1075 0.6 0.95 Resources/Default/1/Graphics/Props/Prop_hydrant_now.png 1 250 250 0 0 60 1
450 450 3040 1100 0.3 0.3 Resources/Default/1/Graphics/Props/Prop_big_trashcan.png 1 410 410 0 0 60 1
250 250 4700 1100 1.0 0.3 Resources/Default/1/Graphics/Props/Prop_Clothing_rack_now.png 1 512 512 0 0 60 1
250 250 5600 1050 0.3 0.65 Resources/Default/1/Graphics/Props/TrashCan_Now.png 1 1024 1024 0 0 60 1
50 150 7325 800 1.0 1.0 Resources/Default/1/Graphics/Props/k.png 1 1024 1024 0 0 60 1
325 325 10160 1075 0.4 0.6 Resources/Default/1/Graphics/Props/Prop_Barricade.png 1 1024 1024 0 0 60 1
250 250 13050 1100 0.4 0.8 Resources/Default/1/Graphics/Props/Prop_Mail_Box_Now.png 1 1024 1024 0 0 60 1
350 350 15100 1075 0.4 0.5 Resources/Default/1/Graphics/Props/Prop_machine_washer.png 1 1024 1024 0 0 60 1
350 350 16700 1025 0.3 0.84 Resources/Default/1/Graphics/Props/Prop_Movie_Commercial_Now.png 1 1024 1024 0 0 60 1
50 150 19250 800 1.0 1.0 Resources/Default/1/Graphics/Props/k.png 1 1024 1024 0 0 60 1
