1 0 Resources/Common/Audio/Sound/catVer4.ogg 3531 300 300 1 0 112
1 0 Resources/Common/Audio/Sound/doorVer2.ogg 4000 300 300 1 0 114
1 0 Resources/Common/Audio/Sound/carHornVer3.ogg 6584 300 300 1 0 116
1 0 Resources/Common/Audio/Sound/explosion1ver2.ogg 9820 300 200 1 0 118
1 0 Resources/Common/Audio/Sound/dog.ogg 13176 300 300 1 0 120
1 0 Resources/Common/Audio/Sound/atm.ogg 16500 300 300 1 0 122
1 0 Resources/Common/Audio/Sound/emergencyVehicles.ogg 18500 300 500 1 0 124
1 0 Resources/Common/Audio/Sound/explosion2Ver2.ogg 21554 300 300 1 0 126
1 0 Resources/Common/Audio/Sound/emergencyVehicles.ogg 23500 300 500 1 0 128
1 0 Resources/Common/Audio/Sound/explosion3Ver2.ogg 26674 300 400 1 0 130
2 0 Resources/Common/Audio/Sound/fence4.ogg 2050 -200 300 1 0 132
2 0 Resources/Common/Audio/Sound/wind.ogg 2701 0 250 3 1
2 0 Resources/Common/Audio/Sound/episodeVer2.ogg 6600 0 400 1 0 134
2 0 Resources/Common/Audio/Sound/brokenGlassVer3.ogg 9164 0 300 2 0 136
2 0 Resources/Common/Audio/Sound/looting2.ogg 10079 0 300 1 0 138
2 0 Resources/Common/Audio/Sound/shooting2.ogg 19000 0 300 3 0 140
